return point 2, result=0.0003383159637451172, sub_result=0.00033849477767944336
return point 3, result=0.002959823608398437, sub_result=0.0029582977294921875
return point 2, result=0.0003859996795654297, sub_result=0.00038617849349975586
return point 2, result=0.0003650188446044922, sub_result=0.00036519765853881836
return point 2, result=0.0003612041473388672, sub_result=0.00036138296127319336
return point 2, result=0.0003402233123779297, sub_result=0.00034040212631225586
return point 2, result=0.0003688335418701172, sub_result=0.00036901235580444336
return point 2, result=0.0003478527069091797, sub_result=0.00034803152084350586
return point 2, result=0.0003440380096435547, sub_result=0.00034421682357788086
return point 2, result=0.0003230571746826172, sub_result=0.00032323598861694336
return point 3, result=0.002837753295898437, sub_result=0.0028362274169921875
return point 2, result=0.0003459453582763672, sub_result=0.00034612417221069336
return point 2, result=0.0003287792205810547, sub_result=0.00032895803451538086
return point 2, result=0.0003211498260498047, sub_result=0.00032132863998413086
return point 2, result=0.0003039836883544922, sub_result=0.00030416250228881836
return point 2, result=0.0003287792205810547, sub_result=0.00032895803451538086
return point 2, result=0.0003116130828857422, sub_result=0.00031179189682006836
return point 2, result=0.0003039836883544922, sub_result=0.00030416250228881836
return point 2, result=0.0002868175506591797, sub_result=0.00028699636459350586
return point 3, result=0.0025325775146484374, sub_result=0.0025310516357421875
return point 3, result=0.024411010742187492, sub_result=0.02435302734375
return point 2, result=0.0004813671112060547, sub_result=0.00048154592514038086
